BOX, DISTRICT, LAT, LONG
1232,3,-71.05660859037842,42.36821867514193
1233,3,-71.05432958905813,42.36706267496729
1234,3,-71.05406958937768,42.36769167526777
1235,3,-71.05250458919242,42.36720367514345
1231,3,-71.05651959108941,42.3670236745721
1211,3,-71.05837959062583,42.36681867515126
1216,3,-71.0574755907521,42.365893674549284
1217,3,-71.05832759113143,42.36527767361366
1212,3,-71.05733659032873,42.36444267425402
1224,3,-71.05545959009667,42.3652516745092
1243,3,-71.05299158903449,42.36530267453954
124,3,-71.0529915893706,42.36561167466765
1221,3,-71.05467758991767,42.36365967398756
1226,3,-71.05554659005188,42.3627216741006
1244,3,-71.0534435890792,42.364031674378175
1241,3,-71.0521225880818,42.36369767369091
1245,3,-71.05121858942242,42.364044674271526
1242,3,-71.05123658856273,42.36544467463114
1236,3,-71.05144458912238,42.36638167471751
1251,3,-71.05257458863926,42.36205467378764
1246,3,-71.05108058854178,42.36213167430966
1247,3,-71.05287958827815,42.36106067430215
1252,3,-71.05391258892293,42.36160567373539
1258,3,-71.05730159081236,42.36170667458554
1259,3,-71.05671058956622,42.36047367338118
1255,3,-71.05552959016966,42.361128673532576
1253,3,-71.05375658865398,42.36082067335926
1262,3,-71.05924459031067,42.35921367334006
1271,3,-71.05783059049223,42.35889067348113
1281,3,-71.05588558988023,42.358984673340046
1254,3,-71.05576358963266,42.35963367372093
1256,3,-71.05377358894863,42.35996067364056
1296,3,-71.05179158842849,42.359690673990016
1263,3,-71.0602745912396,42.3581106727334
1272,3,-71.0580495902235,42.35771267262447
1282,3,-71.05651959032582,42.35760967383362
1287,3,-71.05429458874521,42.35838067305493
1286,3,-71.05351258854932,42.35879167370385
1273,3,-71.05956159121514,42.35626267282726
1284,3,-71.05486858828631,42.356146673565156
1298,3,-71.05406858794129,42.35529867221791
1291,3,-71.05319958805077,42.356056672295004
1299,3,-71.05297358861667,42.35482367190831
1297,3,-71.05219158831359,42.35522167255161
1293,3,-71.05094058794526,42.355131672678795
1292,3,-71.05155458726615,42.35462367334318
1274,3,-71.05811859036534,42.356724672957306
1275,3,-71.05678058937131,42.35673767217813
1283,3,-71.05488559013801,42.35735367353777
1285,3,-71.05262658867248,42.35740567322376
7135,6,-71.05360958839535,42.343362670220394
7131,6,-71.05105458715157,42.34699767090106
713,6,-71.0495555875123,42.34912667140781
3474,8,-71.06409958702974,42.27327165620291
4126,3,-71.0593625912017,42.374395675613705
3284,8,-71.0550195854808,42.28543365952023
3467,8,-71.05997958539355,42.27791265768911
3211,8,-71.05736658623142,42.29314166044714
3142,7,-71.06155958889421,42.305380663158694
3283,8,-71.05563358540938,42.28356165884366
3469,8,-71.06188958725456,42.27525465764193
3282,8,-71.05571258505574,42.28249965817665
3285,8,-71.05452058426714,42.28665665949649
